race_id,year,round,track,driver,team,race_lap,stint,compound,tire_age,lap_time_sec,is_inlap,is_outlap,circuit_length(km)
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,LAW,RB,34.0,1.0,HARD,34.0,85.903,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PIA,McLaren,34.0,1.0,MEDIUM,34.0,83.015,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,HAM,Mercedes,34.0,2.0,HARD,6.0,83.332,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,COL,Williams,34.0,1.0,HARD,34.0,83.101,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,VER,Red Bull Racing,34.0,2.0,HARD,8.0,82.154,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,BOT,Kick Sauber,34.0,1.0,HARD,35.0,83.262,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,MAG,Haas F1 Team,34.0,2.0,HARD,4.0,81.946,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,OCO,Alpine,34.0,1.0,HARD,34.0,83.486,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,HUL,Haas F1 Team,34.0,2.0,HARD,5.0,81.602,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,GAS,Alpine,34.0,2.0,HARD,6.0,82.201,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,ZHO,Kick Sauber,34.0,1.0,HARD,35.0,83.519,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PER,Red Bull Racing,34.0,2.0,MEDIUM,14.0,83.096,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,STR,Aston Martin,34.0,2.0,HARD,9.0,83.037,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,SAI,Ferrari,35.0,2.0,HARD,3.0,81.19,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,LEC,Ferrari,35.0,2.0,HARD,4.0,80.675,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,NOR,McLaren,35.0,2.0,HARD,5.0,80.697,False,False,4.304
